month,year,kraj,monthly_min_wage
november,2021,HKK,15200
november,2021,STC,15200
november,2021,PAK,15200
november,2021,VYS,15200
november,2021,JHC,15200
november,2021,JHM,15200
november,2021,PLK,15200
november,2021,OLK,15200
november,2021,KVK,15200
november,2021,ZLK,15200
november,2021,ULK,15200
november,2021,MSK,15200
november,2021,LBK,15200
december,2021,PHA,15200
december,2021,HKK,15200
december,2021,STC,15200
december,2021,PAK,15200
december,2021,VYS,15200
december,2021,JHC,15200
december,2021,JHM,15200
december,2021,PLK,15200
december,2021,OLK,15200
december,2021,KVK,15200
december,2021,ZLK,15200
december,2021,ULK,15200
december,2021,MSK,15200
december,2021,LBK,15200
january,2022,PHA,16200
january,2022,HKK,16200
january,2022,STC,16200
january,2022,PAK,16200
january,2022,VYS,16200
january,2022,JHC,16200
january,2022,JHM,16200
january,2022,PLK,16200
january,2022,OLK,16200
january,2022,KVK,16200
january,2022,ZLK,16200
january,2022,ULK,16200
january,2022,MSK,16200
january,2022,LBK,16200
february,2022,PHA,16200
february,2022,HKK,16200
february,2022,STC,16200
february,2022,PAK,16200
february,2022,VYS,16200
february,2022,JHC,16200
february,2022,JHM,16200
february,2022,PLK,16200
february,2022,OLK,16200
february,2022,KVK,16200
february,2022,ZLK,16200
february,2022,ULK,16200
february,2022,MSK,16200
february,2022,LBK,16200
march,2022,PHA,16200
march,2022,HKK,16200
march,2022,STC,16200
march,2022,PAK,16200
march,2022,VYS,16200
march,2022,JHC,16200
march,2022,JHM,16200
march,2022,PLK,16200
march,2022,OLK,16200
march,2022,KVK,16200
march,2022,ZLK,16200
march,2022,ULK,16200
march,2022,MSK,16200
march,2022,LBK,16200
april,2022,PHA,16200
april,2022,HKK,16200
april,2022,STC,16200
april,2022,PAK,16200
april,2022,VYS,16200
april,2022,JHC,16200
april,2022,JHM,16200
april,2022,PLK,16200
april,2022,OLK,16200
april,2022,KVK,16200
april,2022,ZLK,16200
april,2022,ULK,16200
april,2022,MSK,16200
april,2022,LBK,16200
may,2022,PHA,16200
may,2022,HKK,16200
may,2022,STC,16200
may,2022,PAK,16200
may,2022,VYS,16200
may,2022,JHC,16200
may,2022,JHM,16200
may,2022,PLK,16200
may,2022,OLK,16200
may,2022,KVK,16200
may,2022,ZLK,16200
may,2022,ULK,16200
may,2022,MSK,16200
may,2022,LBK,16200
june,2022,PHA,16200
june,2022,HKK,16200
june,2022,STC,16200
june,2022,PAK,16200
june,2022,VYS,16200
june,2022,JHC,16200
june,2022,JHM,16200
june,2022,PLK,16200
june,2022,OLK,16200
june,2022,KVK,16200
june,2022,ZLK,16200
june,2022,ULK,16200
june,2022,MSK,16200
june,2022,LBK,16200
july,2022,PHA,16200
july,2022,HKK,16200
july,2022,STC,16200
july,2022,PAK,16200
july,2022,VYS,16200
july,2022,JHC,16200
july,2022,JHM,16200
july,2022,PLK,16200
july,2022,OLK,16200
july,2022,KVK,16200
july,2022,ZLK,16200
july,2022,ULK,16200
july,2022,MSK,16200
july,2022,LBK,16200
august,2022,PHA,16200
august,2022,HKK,16200
august,2022,STC,16200
august,2022,PAK,16200
august,2022,VYS,16200
august,2022,JHC,16200
august,2022,JHM,16200
august,2022,PLK,16200
august,2022,OLK,16200
august,2022,KVK,16200
august,2022,ZLK,16200
august,2022,ULK,16200
august,2022,MSK,16200
august,2022,LBK,16200
september,2022,PHA,16200
september,2022,HKK,16200
september,2022,STC,16200
september,2022,PAK,16200
september,2022,VYS,16200
september,2022,JHC,16200
september,2022,JHM,16200
september,2022,PLK,16200
september,2022,OLK,16200
september,2022,KVK,16200
september,2022,ZLK,16200
september,2022,ULK,16200
september,2022,MSK,16200
september,2022,LBK,16200
october,2022,PHA,16200
october,2022,HKK,16200
october,2022,STC,16200
october,2022,PAK,16200
october,2022,VYS,16200
october,2022,JHC,16200
october,2022,JHM,16200
october,2022,PLK,16200
october,2022,OLK,16200
october,2022,KVK,16200
october,2022,ZLK,16200
october,2022,ULK,16200
october,2022,MSK,16200
october,2022,LBK,16200
november,2022,PHA,16200
november,2022,HKK,16200
november,2022,STC,16200
november,2022,PAK,16200
november,2022,VYS,16200
november,2022,JHC,16200
november,2022,JHM,16200
november,2022,PLK,16200
november,2022,OLK,16200
november,2022,KVK,16200
november,2022,ZLK,16200
november,2022,ULK,16200
november,2022,MSK,16200
november,2022,LBK,16200
december,2022,PHA,16200
december,2022,HKK,16200
december,2022,STC,16200
december,2022,PAK,16200
december,2022,VYS,16200
december,2022,JHC,16200
december,2022,JHM,16200
december,2022,PLK,16200
december,2022,OLK,16200
december,2022,KVK,16200
december,2022,ZLK,16200
december,2022,ULK,16200
december,2022,MSK,16200
december,2022,LBK,16200
january,2023,PHA,17300
january,2023,HKK,17300
january,2023,STC,17300
january,2023,PAK,17300
january,2023,VYS,17300
january,2023,JHC,17300
january,2023,JHM,17300
january,2023,PLK,17300
january,2023,OLK,17300
january,2023,KVK,17300
january,2023,ZLK,17300
january,2023,ULK,17300
january,2023,MSK,17300
january,2023,LBK,17300
february,2023,PHA,17300
february,2023,HKK,17300
february,2023,STC,17300
february,2023,PAK,17300
february,2023,VYS,17300
february,2023,JHC,17300
february,2023,JHM,17300
february,2023,PLK,17300
february,2023,OLK,17300
february,2023,KVK,17300
february,2023,ZLK,17300
february,2023,ULK,17300
february,2023,MSK,17300
february,2023,LBK,17300
march,2023,PHA,17300
march,2023,HKK,17300
march,2023,STC,17300
march,2023,PAK,17300
march,2023,VYS,17300
march,2023,JHC,17300
march,2023,JHM,17300
march,2023,PLK,17300
march,2023,OLK,17300
march,2023,KVK,17300
march,2023,ZLK,17300
march,2023,ULK,17300
march,2023,MSK,17300
march,2023,LBK,17300
april,2023,PHA,17300
april,2023,HKK,17300
april,2023,STC,17300
april,2023,PAK,17300
april,2023,VYS,17300
april,2023,JHC,17300
april,2023,JHM,17300
april,2023,PLK,17300
april,2023,OLK,17300
april,2023,KVK,17300
april,2023,ZLK,17300
april,2023,ULK,17300
april,2023,MSK,17300
april,2023,LBK,17300
may,2023,PHA,17300
may,2023,HKK,17300
may,2023,STC,17300
may,2023,PAK,17300
may,2023,VYS,17300
may,2023,JHC,17300
may,2023,JHM,17300
may,2023,PLK,17300
may,2023,OLK,17300
may,2023,KVK,17300
may,2023,ZLK,17300
may,2023,ULK,17300
may,2023,MSK,17300
may,2023,LBK,17300
june,2023,PHA,17300
june,2023,HKK,17300
june,2023,STC,17300
june,2023,PAK,17300
june,2023,VYS,17300
june,2023,JHC,17300
june,2023,JHM,17300
june,2023,PLK,17300
june,2023,OLK,17300
june,2023,KVK,17300
june,2023,ZLK,17300
june,2023,ULK,17300
june,2023,MSK,17300
june,2023,LBK,17300
july,2023,PHA,17300
july,2023,HKK,17300
july,2023,STC,17300
july,2023,PAK,17300
july,2023,VYS,17300
july,2023,JHC,17300
july,2023,JHM,17300
july,2023,PLK,17300
july,2023,OLK,17300
july,2023,KVK,17300
july,2023,ZLK,17300
july,2023,ULK,17300
july,2023,MSK,17300
july,2023,LBK,17300
august,2023,PHA,17300
august,2023,HKK,17300
august,2023,STC,17300
august,2023,PAK,17300
august,2023,VYS,17300
august,2023,JHC,17300
august,2023,JHM,17300
august,2023,PLK,17300
august,2023,OLK,17300
august,2023,KVK,17300
august,2023,ZLK,17300
august,2023,ULK,17300
august,2023,MSK,17300
august,2023,LBK,17300
september,2023,PHA,17300
september,2023,HKK,17300
september,2023,STC,17300
september,2023,PAK,17300
september,2023,VYS,17300
september,2023,JHC,17300
september,2023,JHM,17300
september,2023,PLK,17300
september,2023,OLK,17300
september,2023,KVK,17300
september,2023,ZLK,17300
september,2023,ULK,17300
september,2023,MSK,17300
september,2023,LBK,17300
